X Y Z
34.8266665424868975 -19.7691663859524347 -99999
34.8274998758168834 -19.7691663859524347 -99999
34.8283332091468694 -19.7691663859524347 -99999
34.8291665424768553 -19.7691663859524347 -99999
34.8299998758068412 -19.7691663859524347 -99999
34.8308332091368271 -19.7691663859524347 -99999
34.831666542466813 -19.7691663859524347 -99999
34.832499875796799 -19.7691663859524347 -99999
34.8333332091267849 -19.7691663859524347 -99999
34.8341665424567708 -19.7691663859524347 -99999
34.8349998757867567 -19.7691663859524347 -99999
34.8358332091167426 -19.7691663859524347 -99999
34.8366665424467286 -19.7691663859524347 -99999
34.8374998757767145 -19.7691663859524347 -99999
34.8383332091067004 -19.7691663859524347 -99999
34.8391665424366863 -19.7691663859524347 -99999
34.8399998757666722 -19.7691663859524347 -99999
34.8408332090966582 -19.7691663859524347 -99999
34.8416665424266441 -19.7691663859524347 -99999
34.84249987575663 -19.7691663859524347 -99999
34.8433332090866159 -19.7691663859524347 -99999
34.8441665424166018 -19.7691663859524347 -99999
34.8449998757465877 -19.7691663859524347 -99999
34.8458332090765737 -19.7691663859524347 -99999
34.8466665424065596 -19.7691663859524347 -99999
34.8474998757365455 -19.7691663859524347 -99999
34.8483332090665314 -19.7691663859524347 -99999
34.8491665423965173 -19.7691663859524347 -99999
34.8499998757265033 -19.7691663859524347 -99999
34.8508332090564892 -19.7691663859524347 -99999
34.8516665423864751 -19.7691663859524347 -99999
34.852499875716461 -19.7691663859524347 -99999
34.8533332090464469 -19.7691663859524347 -99999
34.8541665423764329 -19.7691663859524347 -99999
34.8549998757064188 -19.7691663859524347 -99999
34.8558332090364047 -19.7691663859524347 -99999
34.8566665423663906 -19.7691663859524347 -99999
34.8574998756963765 -19.7691663859524347 -99999
34.8583332090263625 -19.7691663859524347 -99999
34.8591665423563484 -19.7691663859524347 -99999
34.8599998756863343 -19.7691663859524347 -99999
34.8608332090163202 -19.7691663859524347 -99999
34.8616665423463061 -19.7691663859524347 -99999
34.862499875676292 -19.7691663859524347 -99999
34.863333209006278 -19.7691663859524347 -99999
34.8641665423362639 -19.7691663859524347 -99999
34.8649998756662498 -19.7691663859524347 -99999
34.8658332089962357 -19.7691663859524347 -99999
34.8666665423262216 -19.7691663859524347 -99999
34.8674998756562076 -19.7691663859524347 -99999
34.8683332089861935 -19.7691663859524347 -99999
34.8691665423161794 -19.7691663859524347 -99999
34.8699998756461653 -19.7691663859524347 -99999
34.8708332089761512 -19.7691663859524347 -99999
34.8716665423061372 -19.7691663859524347 -99999
