,node_ID,highway,street_count,x,y,geometry
1608,4723053007,,3,34.855529,-19.8367642,POINT (34.855529 -19.8367642)
1609,4723053009,,3,34.856219,-19.8325897,POINT (34.856219 -19.8325897)
1610,4723053011,,3,34.8561664,-19.8330326,POINT (34.8561664 -19.8330326)
1611,4723059928,,3,34.8523738,-19.8323693,POINT (34.8523738 -19.8323693)
1612,4723059929,,3,34.8495952,-19.8343752,POINT (34.8495952 -19.8343752)
1613,4723059930,,3,34.8497592,-19.8341546,POINT (34.8497592 -19.8341546)
1614,4723059931,,3,34.8491061,-19.8337757,POINT (34.8491061 -19.8337757)
1615,4723059932,,3,34.8489577,-19.8339916,POINT (34.8489577 -19.8339916)
1616,4723066878,,3,34.8509549,-19.8284672,POINT (34.8509549 -19.8284672)
1617,4723066879,,4,34.8528341,-19.8285525,POINT (34.8528341 -19.8285525)
1618,4723066880,,3,34.8533378,-19.8285719,POINT (34.8533378 -19.8285719)
1619,4723066881,,3,34.8532789,-19.8296414,POINT (34.8532789 -19.8296414)
1620,4723066882,,4,34.8533932,-19.8273102,POINT (34.8533932 -19.8273102)
1621,4723066883,,3,34.8529301,-19.827302,POINT (34.8529301 -19.827302)
1622,4723115134,,3,34.8544383,-19.8298255,POINT (34.8544383 -19.8298255)
1623,4723127296,,3,34.8676002,-19.8397455,POINT (34.8676002 -19.8397455)
1624,4723127307,,3,34.8606659,-19.8489244,POINT (34.8606659 -19.8489244)
1625,4723127314,,3,34.860679,-19.8486901,POINT (34.860679 -19.8486901)
1626,4723127315,,3,34.8609635,-19.8487143,POINT (34.8609635 -19.8487143)
1627,4723127321,,3,34.86091,-19.8489691,POINT (34.86091 -19.8489691)
1628,4723128396,,1,34.8529057,-19.834142,POINT (34.8529057 -19.834142)
1629,4723128403,,3,34.8515985,-19.8352656,POINT (34.8515985 -19.8352656)
1630,4723128404,,1,34.8536581,-19.833809,POINT (34.8536581 -19.833809)
1631,4723135463,,3,34.8657499,-19.8492641,POINT (34.8657499 -19.8492641)
1632,4723135464,,3,34.8658847,-19.848506,POINT (34.8658847 -19.848506)
1633,4723168132,,4,34.8634147,-19.8375011,POINT (34.8634147 -19.8375011)
1634,4723168134,,3,34.8593414,-19.8367577,POINT (34.8593414 -19.8367577)
1635,4723168135,,3,34.860951,-19.8373743,POINT (34.860951 -19.8373743)
1636,4723168137,,3,34.8604087,-19.8372034,POINT (34.8604087 -19.8372034)
1637,4723168140,,3,34.8605894,-19.8367093,POINT (34.8605894 -19.8367093)
1638,4723168141,,3,34.8615379,-19.8361488,POINT (34.8615379 -19.8361488)
1639,4723168142,,3,34.8609703,-19.8359243,POINT (34.8609703 -19.8359243)
1640,4723168143,,3,34.8623511,-19.8347051,POINT (34.8623511 -19.8347051)
1641,4723168145,,3,34.8620214,-19.8345833,POINT (34.8620214 -19.8345833)
1642,4723168148,,3,34.8617208,-19.8353235,POINT (34.8617208 -19.8353235)
1643,4723168151,,3,34.861939,-19.8347863,POINT (34.861939 -19.8347863)
1644,4723168153,,3,34.8606069,-19.8343378,POINT (34.8606069 -19.8343378)
1645,4723168156,,4,34.8644117,-19.8300022,POINT (34.8644117 -19.8300022)
1646,4723168160,,3,34.8635625,-19.8290678,POINT (34.8635625 -19.8290678)
1647,4723168161,,3,34.8637515,-19.8296196,POINT (34.8637515 -19.8296196)
1648,4723168162,,3,34.8632193,-19.8296856,POINT (34.8632193 -19.8296856)
1649,4723171912,,4,34.8631975,-19.837903,POINT (34.8631975 -19.837903)
1650,4723171913,,3,34.8654619,-19.8367326,POINT (34.8654619 -19.8367326)
1651,4723171914,,3,34.8640858,-19.8363163,POINT (34.8640858 -19.8363163)
1652,4723171915,,3,34.8651525,-19.8375324,POINT (34.8651525 -19.8375324)
1653,4723171916,,3,34.8636044,-19.8371963,POINT (34.8636044 -19.8371963)
1654,4723175221,,1,34.8671432,-19.8294941,POINT (34.8671432 -19.8294941)
1655,4723175222,,3,34.8680252,-19.8298558,POINT (34.8680252 -19.8298558)
1656,4723175223,,1,34.8699421,-19.8377484,POINT (34.8699421 -19.8377484)
1657,4723175225,,3,34.8696758,-19.8372693,POINT (34.8696758 -19.8372693)
1658,4723175226,,4,34.8675962,-19.8372148,POINT (34.8675962 -19.8372148)
1659,4723175227,,3,34.8674924,-19.8375025,POINT (34.8674924 -19.8375025)
1660,4723202583,,3,34.8501407,-19.8187729,POINT (34.8501407 -19.8187729)
1661,4723202584,,3,34.8507702,-19.8207254,POINT (34.8507702 -19.8207254)
1662,4723202585,,3,34.8502486,-19.8204424,POINT (34.8502486 -19.8204424)
1663,4723202586,,3,34.8502722,-19.8214328,POINT (34.8502722 -19.8214328)
1664,4723202587,,4,34.8485248,-19.8229499,POINT (34.8485248 -19.8229499)
1665,4723202588,,4,34.8484582,-19.8230472,POINT (34.8484582 -19.8230472)
1666,4723204789,,3,34.8489192,-19.8233561,POINT (34.8489192 -19.8233561)
1667,4723204791,,3,34.849037,-19.8231914,POINT (34.849037 -19.8231914)
1668,4723204793,,4,34.849585,-19.8237611,POINT (34.849585 -19.8237611)
1669,4723204794,,3,34.8490326,-19.8233886,POINT (34.8490326 -19.8233886)
1670,4723204795,,1,34.8542988,-19.8250146,POINT (34.8542988 -19.8250146)
1671,4723204803,,3,34.8533363,-19.8286266,POINT (34.8533363 -19.8286266)
1672,4723204805,,3,34.8539994,-19.8273175,POINT (34.8539994 -19.8273175)
1673,4723210832,,3,34.8600019,-19.8286683,POINT (34.8600019 -19.8286683)
1674,4723210836,,3,34.8592327,-19.8287502,POINT (34.8592327 -19.8287502)
1675,4723210837,,1,34.8590495,-19.828177,POINT (34.8590495 -19.828177)
1676,4723210838,,3,34.8582602,-19.8297024,POINT (34.8582602 -19.8297024)
1677,4723210839,,3,34.8586532,-19.8298924,POINT (34.8586532 -19.8298924)
1678,4723210848,,4,34.8568572,-19.8269883,POINT (34.8568572 -19.8269883)
1679,4723210849,,3,34.8495905,-19.8243721,POINT (34.8495905 -19.8243721)
1680,4723215543,,3,34.8514931,-19.8148414,POINT (34.8514931 -19.8148414)
1681,4723231688,,3,34.859419,-19.8098192,POINT (34.859419 -19.8098192)
1682,4723231994,,3,34.8586805,-19.8096356,POINT (34.8586805 -19.8096356)
1683,4723232001,,3,34.8586707,-19.8111635,POINT (34.8586707 -19.8111635)
1684,4723232010,,4,34.8583508,-19.8140005,POINT (34.8583508 -19.8140005)
1685,4723269870,,3,34.859862,-19.8163284,POINT (34.859862 -19.8163284)
1686,4723269872,,3,34.8610203,-19.8155259,POINT (34.8610203 -19.8155259)
1687,4723269873,,1,34.8615515,-19.8145815,POINT (34.8615515 -19.8145815)
1688,4723269875,,3,34.8613997,-19.8153237,POINT (34.8613997 -19.8153237)
1689,4723269877,,4,34.8621659,-19.8132598,POINT (34.8621659 -19.8132598)
1690,4723269878,,1,34.8616401,-19.8098008,POINT (34.8616401 -19.8098008)
1691,4723269885,,3,34.8608068,-19.810663,POINT (34.8608068 -19.810663)
1692,4723269887,,3,34.8620691,-19.8122181,POINT (34.8620691 -19.8122181)
1693,4723269888,,3,34.8624041,-19.8116442,POINT (34.8624041 -19.8116442)
1694,4723272589,,1,34.8638342,-19.8114093,POINT (34.8638342 -19.8114093)
1695,4723272599,,3,34.8642887,-19.8109042,POINT (34.8642887 -19.8109042)
1696,4723272604,,3,34.8648635,-19.8116107,POINT (34.8648635 -19.8116107)
1697,4723272605,,3,34.8648201,-19.8112511,POINT (34.8648201 -19.8112511)
1698,4723274299,,3,34.8618873,-19.8113111,POINT (34.8618873 -19.8113111)
1699,4723291221,,3,34.8863166,-19.8453178,POINT (34.8863166 -19.8453178)
1700,4723291226,,3,34.8860802,-19.8477174,POINT (34.8860802 -19.8477174)
1701,4723291237,,3,34.8835994,-19.8467343,POINT (34.8835994 -19.8467343)
1702,4723291238,,3,34.8824038,-19.8469726,POINT (34.8824038 -19.8469726)
1703,4723291239,,3,34.8834304,-19.8459659,POINT (34.8834304 -19.8459659)
