,stnode,endnode,osmid,oneway,ref,tunnel,maxspeed,lanes,length,service,bridge,highway,junction,access,name,geometry
8742,5653957957,5653957956,592390944,False,,,,,158.144,,,residential,,,,"LINESTRING (34.8651907 -19.837406, 34.8637563 -19.8369564)"
8743,5653957958,4723168145,592390945,False,,,,,104.997,,,residential,,,,"LINESTRING (34.8610763 -19.8342651, 34.8620214 -19.8345833)"
8744,5653957958,5653957959,592390947,False,,,,,65.765,,,residential,,,,"LINESTRING (34.8610763 -19.8342651, 34.8613015 -19.8337129)"
8745,5653957958,5653957960,592390947,False,,,,,24.247,,,residential,,,,"LINESTRING (34.8610763 -19.8342651, 34.8609933 -19.8344687)"
8746,5653957959,1935839930,183217115,False,,,,,146.667,,,residential,,,,"LINESTRING (34.8613015 -19.8337129, 34.8626234 -19.8341528)"
8747,5653957959,1935839925,183217115,False,,,,,31.998,,,residential,,,,"LINESTRING (34.8613015 -19.8337129, 34.8610127 -19.833618)"
8748,5653957959,5653957958,592390947,False,,,,,65.765,,,residential,,,,"LINESTRING (34.8613015 -19.8337129, 34.8610763 -19.8342651)"
8749,5653957960,4723168153,479169838,False,,,,,42.958,,,residential,,,,"LINESTRING (34.8609933 -19.8344687, 34.8606069 -19.8343378)"
8750,5653957960,5653957958,592390947,False,,,,,24.247,,,residential,,,,"LINESTRING (34.8609933 -19.8344687, 34.8610763 -19.8342651)"
8751,5653957960,4723168151,479169838,False,,,,,105.038,,,residential,,,,"LINESTRING (34.8609933 -19.8344687, 34.8618531 -19.8347598, 34.861939 -19.8347863)"
8752,5653957961,5653957962,592390948,False,,,,,86.899,,,residential,,,,"LINESTRING (34.8693502 -19.8303402, 34.8688885 -19.8309899)"
8753,5653957962,3328125962,326191768,False,,,,,136.357,,,residential,,,,"LINESTRING (34.8688885 -19.8309899, 34.8677831 -19.8303399)"
8754,5653957962,3328127357,326191768,False,,,,,51.649,,,residential,,,,"LINESTRING (34.8688885 -19.8309899, 34.8693072 -19.8312361)"
8755,5653957962,5653957961,592390948,False,,,,,86.899,,,residential,,,,"LINESTRING (34.8688885 -19.8309899, 34.8693502 -19.8303402)"
8756,5653957963,3887805348,385433516,False,,,,,139.963,,,residential,,,,"LINESTRING (34.8619273 -19.8367067, 34.8619835 -19.8364247, 34.8620729 -19.8361946, 34.8622428 -19.8358787, 34.8624392 -19.8355549)"
8757,5653957963,3887805402,385433637,False,,,,,94.86099999999999,,,residential,,,,"LINESTRING (34.8619273 -19.8367067, 34.862128 -19.8367413, 34.8624973 -19.8368142, 34.8628066 -19.8369097)"
8758,5653957963,5653896228,385433637,False,,,,,66.012,,,residential,,,,"LINESTRING (34.8619273 -19.8367067, 34.8617232 -19.8366716, 34.8613273 -19.8365298)"
8759,5653957965,2612440814,255563344,False,,,,,32.953,,,residential,,,,"LINESTRING (34.8657119 -19.8369302, 34.8658054 -19.8366472)"
8760,5653957965,2612440968,255563344,False,,,,,27.489,,,residential,,,,"LINESTRING (34.8657119 -19.8369302, 34.865634 -19.8371663)"
8761,5653957965,4723175227,592390950,False,,,,,196.807,,,residential,,,,"LINESTRING (34.8657119 -19.8369302, 34.8674924 -19.8375025)"
8762,5653957966,4723171914,255563339,False,,,,,40.679,,,residential,,,,"LINESTRING (34.8639155 -19.8366452, 34.8640858 -19.8363163)"
8763,5653957966,5653957956,255563339,False,,,,,38.402,,,residential,,,,"LINESTRING (34.8639155 -19.8366452, 34.8637563 -19.8369564)"
8764,5653957966,2612440771,592390951,False,,,,,152.96,,,residential,,,,"LINESTRING (34.8639155 -19.8366452, 34.8652984 -19.8370925)"
8765,5653957967,2612440945,592390952,False,,,,,71.068,,,residential,,,,"LINESTRING (34.8670891 -19.836021, 34.866452 -19.8357989)"
8766,5653957968,776390400,204096428,False,,,,,36.775,,,tertiary,,,Rua Alfredo Lawley,"LINESTRING (34.8701653 -19.8335152, 34.8698675 -19.8333394)"
